ruler 尺子  
pencil 铅笔  
eraser 橡皮 
crayon 蜡笔  
bag 包  
pen 钢笔  
pencil box 铅笔盒 
book 书 
No 不  
your 你 （们）的  
red 红色的  
green 绿色的  
yellow 黄色的 
blue 蓝色的  
black 黑色的
brown 棕色的  
white 白色的  
orange 橙子,橙色的  
face 脸  
ear 耳朵  
eye  眼睛  
nose 鼻子 
mouth 嘴
arm 胳膊  
hand 手  
head 头 
body 身体 
leg 腿  
foot  脚  
duck 鸭子  
pig 猪 
cat 猫  
bear 熊 
dog 狗 
elephant 大象  
monkey 猴子 
bird 鸟 
tiger 老虎  
panda 熊猫 
zoo  动物园  
bread 面包 
juice 果汁  
egg 鸡蛋 
milk 牛奶 
water 水 
cake 蛋糕 
fish 鱼,钓鱼
rice 米饭 
one 一  
two 二
three 三 
four 四 
five 五 
six 六 
seven 七 
eight 八  
nine 九  
ten 十  
plate 盘子
Canada 加拿大  
USA 美国  
China 中国  
she 她  
student 学生 
pupil 未成年人
teacher 教师  
boy 男孩 
and 和  
girl 女孩 
new 新的 
friend 朋友 
today 今天 
father 爸爸
man 男人 
woman 女人 
mother 妈妈  
sister 姐妹  
brother 兄弟  
grandmother  （外）祖母
grandma  口语 （外）祖母 
grandfather  （外）祖父  
grandpa 口语 （外）祖父 
family 家庭
thin 瘦的  
fat 胖的  
tall 高的  
short 矮的,短的  
long 长的  
small 小的  
big 大的 
giraffe 长颈鹿  
so 这么,那么  
children  （child的复数）儿童   
tail 尾巴   
on 在……上
in 在……里  
under 在……下面  
chair 椅子
cap 帽子  
ball 球  
car 小汽车 
boat 小船 
map 地图 
toy 玩具 
box 盒,箱 
pear 梨 
banana 香蕉
watermelon 西瓜 
strawberry 草莓 
grape 葡萄 
buy 买 
fruit 水果 
eleven 十一 
twelve 十二
thirteen 十三 
fourteen 十四 
fifteen 十五 
sixteen 十六 
seventeen 十七  
eighteen 十八
nineteen 十九 
twenty 二十 
kite 风筝  
beautiful 美丽的
classroom 教室 
window 窗户 
blackboard 黑板 
light 电灯  
picture 图画 
door 门 
fan 风扇
desk  书桌  
computer 计算机  
wall 墙壁  
floor 地板 
really 真的 
near 距离近
TV 电视  
clean 打扫  
help 帮助  
schoolbag 书包  
maths 数学  
English 英语  
Chinese 中文 
storybook 故事书  
candy 糖果  
notebook 笔记本  
key 钥匙  
lost 丢失
so much 非常的  
cute 可爱的  
strong 强壮的   
friendly 友好的  
quiet 安静的  
hair 头发
shoe 鞋  
glasses 眼镜   
or 或者  
right 对的  
hat 帽子 
her 她的 
bedroom 卧室
living 客厅   
kitchen 厨房  
bathroom 浴室  
bed 床  
phone 电话  
table 桌子
sofa 长沙发  
fridge 冰箱  
find 找到  
them 他们  
beef 牛肉  
chicken 鸡肉 
noodles 面条
soup 汤  
vegetable 蔬菜  
chopsticks 筷子  
bowl 碗  
fork 餐叉   
knife 刀 （复数knives）
spoon 勺  
dinner 晚餐  
ready 准备好  
help yourself 为自己取用  
pass 给,递  
try 尝试
parents 父母 
cousin 同辈表亲或堂亲 
uncle 舅父,叔父,伯父,姨夫  
aunt 姑母,姨母
baby 婴儿 
doctor 医生 
driver 司机 
farmer 农民 
nurse 护士 
people 人们
but 但是 
little 小的 
puppy 小狗 
football player 足球运动员 
job 工作 
basketball 篮球
office 办公室  
library 图书馆   
playground  操场
computer room 计算机室  
art room  美术教室   
music room  音乐教室  
next to  紧挨着 
homework 作业  
class  班级  
forty 四十  
way 方向  
breakfast 早餐 
English class 英语课
lunch 午饭 
music class 音乐课   
get up 起床  
go home 回家
go to school 去上学 
go to bed 上床睡觉 
over 结束 
now 现在 
o'clock ……点钟 
kid 小孩
thirty 三十 
hurry 快点 
come on 快,加油 
just a minute 稍等一会儿 
cold 寒冷的 
cool 凉的
warm 暖和的 
sunny 晴朗的 
windy 多风的 
cloudy 多云的 
snowy 下雪的 
rainy 多雨的
outside 在户外  
be careful 小心  
weather 天气  
New York 纽约  
how about ……怎么样
degree 度数  
world 世界  
London 伦敦  
Moscow 莫斯科  
Singapore 新加坡 
Sydney 悉尼
fly 放,飞
love 爱你的 
tomato 西红柿 
potato 土豆 
green beans 豆角 
carrot 胡萝卜 
horse 马
cow 奶牛 
sheep 绵羊 
hen 母鸡 
these 这些 
animal 动物 
those 那些 
garden 花园 
farm 农场
goat 山羊 
